ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
9/8/10,,,,33.33,18.78,,,,
6/30/10,8:24 AM,17,29.85,36.5,2338.43,2010.305,3.74,453.8,7.996
6/30/10,8:48 AM,18,29.7,36.22,2359.08,2030.145,3.77,454.6,7.999
6/30/10,10:28 AM,19,30.05,37.05,2192.83,1844.145,3.83,368.1,8.042
6/30/10,10:51 AM,20,29.63,36.24,2403.28,2051.905,4.03,427.1,8.028
7/16/10,,,,33.08,,-3.495,,,
6/30/10,11:53 AM,21.5,29.62,36.11,2388.68,2032.425,4.08,411,8.039
6/30/10,3:36 PM,22,29.78,36.19,2405.03,2042.405,4.16,409.1,8.043
6/30/10,4:42 PM,24,30.08,36.67,2281.88,1941.415,3.83,412.8,8.019
3/30/11,,,,33.3,10.76,23.7,,,
2/22/11,4:30 PM,24,22.25,36.06,2480.31,2173.715,3.46,414,8.057
2/21/11,3:04 PM,1,22.31,36.35,2393.36,2055.54,3.72,337,8.116
2/21/11,3:44 PM,3,22.86,36.32,2381.61,2050.84,3.65,351.7,8.098
2/22/11,10:32 PM,,19.22,36.01,2393.66,2089.07,3.34,342.9,8.113
2/21/11,11:16 PM,6.5,22.27,36.27,2380.21,2046.15,3.67,337.4,8.113
2/22/11,3:42 AM,7,22.96,36.81,2466.81,2120.46,3.84,359.6,8.102
2/22/11,3:45 AM,8,22.43,36.39,2398.51,2062.92,3.7,344,8.109
2/22/11,4:06 AM,9,22.36,36.3,2389.51,2059.34,3.64,347.8,8.104
2/22/11,4:57 AM,9.5,21.66,36.25,2393.31,2073.6,3.52,355.4,8.098
3/17/11,,,,33.08,,22.345,,,
3/31/11,,,,33.3,8.71,,,,
2/22/11,9:53 AM,16,22.65,35.14,2484.51,2171.585,3.57,400.4,8.072
2/22/11,9:25 AM,17,22.8,36.32,2489.56,2150.125,3.8,370.7,8.096
2/22/11,8:48 AM,18,22.27,36.26,2398.81,2112.155,3.21,427.3,8.033
2/22/11,1:45 PM,19,23.54,35.92,2449.46,2072.105,4.2,309.7,8.153
2/22/11,1:15 PM,20,22.16,35.74,2496.86,2157.395,3.82,357.9,8.112
4/1/11,,,,33.3,11.41,,,,
2/22/11,11:52 AM,21.5,21.86,36.28,2398.31,2071.425,3.6,348.5,8.105
2/22/11,5:53 PM,22.5,22.82,36.16,2397.61,2068.935,3.64,358,8.095
2/22/11,5:05 PM,23,22.47,36.16,2436.66,2124.325,3.49,393.2,8.068
5/5/11,,,,33.08,11.95,17.895,,,
4/4/11,12:37 PM,1,25.35,36.13,2375.05,2027.035,3.88,355.8,8.092
4/4/11,2:01 AM,2,25.1,36.17,2383.15,2040.475,3.83,363.8,8.085
4/4/11,2:20 AM,3,24.72,36.21,2385.7,2042.815,3.82,359.2,8.09
4/4/11,2:46 PM,4,25.31,36.43,2299.9,1852.645,4.82,217.1,8.245
4/4/11,9:05 PM,5.5,26.11,36.2,2377.3,2027.065,3.92,364.6,8.082
